student_id,record_date,record_type,location,amount,frequency,access_time,weekday
S000001,2025-09-12,consumption,浴室,3.21,3.0,2025-09-12 12:45:00,4
S000001,2025-09-14,consumption,浴室,0.89,2.0,2025-09-14 07:01:00,6
S000001,2025-10-06,consumption,快递点,2.01,1.0,2025-10-06 18:06:00,0
S000001,2025-10-16,access,宿舍楼,0.0,1.0,2025-10-16 07:46:00,3
S000001,2025-10-29,consumption,校园超市,29.89,1.0,2025-10-29 23:18:00,2
S000001,2025-11-15,consumption,快递点,0.53,1.0,2025-11-15 19:21:00,5
S000001,2025-11-20,consumption,快递点,2.13,1.0,2025-11-20 08:02:00,3
S000001,2025-11-21,consumption,开水房,1.74,1.0,2025-11-21 10:47:00,4
S000001,2025-11-23,access,宿舍楼,0.0,1.0,2025-11-23 13:28:00,6
S000001,2025-11-24,consumption,食堂三楼,22.89,1.0,2025-11-24 13:55:00,0
S000002,2025-09-08,consumption,食堂一楼,3.855,2.0,2025-09-08 18:17:00,0
S000002,2025-09-09,consumption,浴室,4.44,2.0,2025-09-09 12:41:00,1
S000002,2025-09-12,access,图书馆,0.0,1.0,2025-09-12 10:40:00,4
S000002,2025-09-13,consumption,校园超市,33.72,3.0,2025-09-13 17:10:00,5
S000002,2025-09-29,access,图书馆,0.0,1.0,2025-09-29 16:31:00,0
S000002,2025-10-18,consumption,开水房,1.7,3.0,2025-10-18 08:38:00,5
S000002,2025-11-03,consumption,开水房,2.56,3.0,2025-11-03 10:15:00,0
S000002,2025-11-11,consumption,开水房,3.13,3.0,2025-11-11 18:23:00,1
S000002,2025-11-21,consumption,开水房,1.6,2.0,2025-11-21 18:17:00,4
S000002,2025-11-21,consumption,食堂二楼,52.54,3.0,2025-11-21 16:53:00,4
S000003,2025-09-02,consumption,食堂一楼,54.03,3.0,2025-09-02 23:48:00,1
S000003,2025-09-03,consumption,食堂三楼,19.46,2.0,2025-09-03 13:03:00,2
S000003,2025-09-21,access,宿舍楼,0.0,1.0,2025-09-21 08:24:00,6
S000003,2025-09-21,consumption,快递点,4.65,1.0,2025-09-21 16:31:00,6
S000003,2025-09-23,consumption,食堂一楼,19.4,3.0,2025-09-23 15:53:00,1
S000003,2025-10-01,access,图书馆,0.0,1.0,2025-10-01 09:46:00,2
S000003,2025-10-05,access,宿舍楼,0.0,1.0,2025-10-05 09:18:00,6
S000003,2025-10-19,consumption,校园超市,16.65,3.0,2025-10-19 14:35:00,6
