student_id,record_count,daily_avg_consumption,daily_avg_frequency,consumption_volatility,total_consumption,total_frequency,library_access_count,dorm_access_count,social_activity_score,weekend_activity_ratio,weekday_activity_ratio,morning_activity_count,afternoon_activity_count,evening_activity_count,night_activity_count,canteen_visits,supermarket_visits,campus_coverage,consumption_regularity,daily_consumption_cv
S000001,10,7.91125,1.375,11.585969886646767,63.29,11.0,0,2,2,0.3,0.7,4,3,3,0,1,1,6,0.07945355097829701,1.4626441390748641
S000002,10,14.79214285714286,3.0,20.777955838087724,103.545,21.0,2,0,2,0.2,0.8,3,4,3,0,2,1,6,0.04591799191047528,1.4037126947508956
S000003,10,26.601428571428574,2.2857142857142856,16.39677654151513,186.21,16.0,1,2,3,0.5,0.5,3,6,1,0,5,1,7,0.05748191325063186,0.6161554422944272
S000004,10,12.557500000000001,2.0,8.62557120261775,100.46000000000001,16.0,2,0,2,0.2,0.8,4,3,3,0,5,1,5,0.1038899384722272,0.6863394631086333
S000005,10,10.816428571428572,1.8571428571428572,8.752271473873565,75.715,13.0,3,0,3,0.4,0.6,2,4,4,0,1,4,5,0.10254021359834067,0.8084172371460705
S000006,10,11.331428571428573,1.8571428571428572,10.016141020991116,79.32000000000001,13.0,3,0,3,0.3,0.7,4,2,4,0,3,2,6,0.09077588949655899,0.8831463301037638
S000007,10,19.045,1.625,19.930980192368146,152.36,13.0,2,0,2,0.3,0.7,3,5,2,0,4,1,5,0.04777607120208446,1.045971146280144
S000008,10,9.176,2.0,10.05458751018658,45.88,10.0,3,2,5,0.2,0.8,3,5,2,0,2,0,6,0.09046018217129495,1.0945555748080318
S000009,10,11.202000000000002,2.8,14.542667224412446,56.010000000000005,14.0,2,3,5,0.2,0.8,1,6,3,0,1,1,6,0.06433902145375198,1.2970627206932255
S000010,10,12.942142857142857,2.142857142857143,10.645532653474437,90.595,15.0,2,1,3,0.4,0.6,6,1,3,0,3,1,8,0.0858698377958393,0.8219128503206425
S000011,10,16.167142857142856,1.7142857142857142,12.20418878129652,113.16999999999999,12.0,1,2,3,0.3,0.7,1,5,4,0,3,2,7,0.0757335430872119,0.7544094089462702
S000012,10,17.844285714285714,2.4285714285714284,13.883492424630118,124.91,17.0,3,0,3,0.1,0.9,1,5,4,0,5,0,5,0.06718853152672276,0.777599991777971
S000013,10,18.23875,1.875,16.270648803904535,145.91,15.0,1,1,2,0.5,0.5,3,4,3,0,3,2,7,0.057901704293467006,0.8916034689446968
S000014,10,21.444,2.2,14.839276599619,107.22,11.0,2,3,5,0.2,0.8,1,4,5,0,2,2,6,0.0631341964205647,0.6916787824936608
